!! request processed by HyperLeda Tue Oct 21 01:08:22 2014
!! Number of lines in uploaded file: 1014
                  name                  |      vdis       |      bri25      |      mabs       |
PGC068301                               |                 | 23.502          | -21.931         |
ESO146-015                              |                 | 23.173          | -19.903         |
ESO237-051                              |                 | 24.276          | -21.229         |
PGC068580                               |                 | 23.29           | -22.224         |
ESO289-019                              |                 | 22.927          | -19.895         |
PGC068626                               |                 | 24.199          | -22.448         |
PGC068750                               |                 | 24.07           | -21.414         |
PGC068776                               |                 | 23.773          | -22.965         |
PGC068799                               |                 | 23.707          | -22.216         |
PGC068895                               |                 | 24.616          | -20.147         |
ESO146-028                              |                 | 23.973          | -22.62          |
ESO289-037                              |                 | 23.527          | -16.293         |
ESO289-043                              |                 | 24.047          | -21.605         |
PGC069436                               |                 | 24.147          | -20.979         |
PGC069437                               |                 | 23.502          | -21.63          |
ESO345-040                              |                 | 23.439          | -19.917         |
ESO345-044                              |                 | 23.033          | -20.806         |
PGC069685                               |                 | 24.932          | -22.397         |
PGC069751                               |                 | 24.152          |                 |
PGC069830                               |                 | 23.836          | -22.419         |
ESO290-020                              |                 | 23.343          | -22.605         |
ESO290-023                              |                 | 23.826          | -21.375         |
ESO076-031                              |                 | 23.13           | -19.838         |
PGC070267                               |                 | 23.582          | -20.807         |
ESO290-040                              |                 | 22.386          | -19.817         |
PGC070476                               |                 | 23.59           | -21.17          |
PGC043412                               |                 | 24.045          | -16.251         |
ESO290-050                              |                 | 23.391          | -20.341         |
PGC070564                               |                 | 23.813          | -22.069         |
PGC070694                               |                 | 23.484          | -21.659         |
ESO291-009                              |                 | 23.858          | -22.449         |
PGC070849                               |                 | 23.613          | -22.902         |
PGC071043                               |                 | 23.576          | -22.348         |
ESO347-007                              |                 | 23.039          | -22.094         |
PGC071186                               |                 | 23.283          | -20.486         |
PGC071408                               |                 | 23.489          | -20.568         |
ESO012-002                              |                 | 24.315          | -22.056         |
IC5324                                  |                 | 23.222          | -19.988         |
ESO148-017                              |  128.04         | 23.274          | -19.9           |
PGC071907                               |                 | 23.585          | -21.943         |
PGC071952                               |                 | 23.788          | -22.031         |
